Word,Pronunciation,Romanisation,Alternate Forms,Parts of Speech,Translation
胸を借りる,むねをかりる,munewokariru,-,noun,to be allowed to practice with a partner of higher skill (esp. in sumo)
逃げ場,にげば,nigeba,逃場,noun,"(place of) refuge, escape, exit, way out, shelter, hiding place"
覚悟を決める,かくごをきめる,kakugowokimeru,-,"noun, suru verb, transitive verb","to prepare oneself (for the worst), to resolve oneself"
所轄署,しょかつしょ,shokatsusho,-,noun,"taxation office serving a specific area, competent tax office OR police station with jurisdiction for a precinct, etc., competent police station"
研修,けんしゅう,kenshuu,-,"noun, suru verb, transitive verb","training (esp. in-service), induction course"
面倒を見る,めんどうをみる,mendouwomiru,面倒をみる,"noun, na-adjective (keiyodoshi)","to care for someone, to look after someone"
でか,-,deka,デカ,"noun, noun, used as a suffix",detective
教育,きょういく,kyouiku,-,"noun, suru verb, transitive verb","education, schooling, training, instruction, teaching, upbringing OR culture, cultivation"
成果,せいか,seika,-,noun,"(good) result, outcome, fruits (of one's labors), product, accomplishment"
派出所,はしゅつじょ,hashutsujo,はしゅつしょ,noun,"branch office OR police box, local police station"
